candidate_id,candidate_key,first_name,incumbent,last_name,name_display,order,party_id,percent,percent_display,seat,state_id,votes,winner,wasted_votes,winner2,contested,party_id2,state_seat_count
fox-63628,foxr,Richard,False,Fox,Richard Fox,2,republican,28.9,28.9,18,CA,93470,False,93470,0,0,republican,53
lofgren-49,lofgrenz,Zoe,True,Lofgren,Zoe Lofgren,2,democrat,73.9,73.9,19,CA,181802,True,90900,1,0,democrat,53
lancaster-65029,lancasterb,Burt,False,Lancaster,G. Burt Lancaster,1,republican,26.1,26.1,19,CA,64061,False,64062,0,0,republican,53
panetta-65030,panettaj,Jimmy,False,Panetta,Jimmy Panetta,2,democrat,70.8,70.8,20,CA,180980,True,90489,1,0,democrat,53
lucius-65031,luciusc,Casey,False,Lucius,Casey Lucius,1,republican,29.2,29.2,20,CA,74811,False,74812,0,0,republican,53
valadao-62229,valadaod,David,True,Valadao,David Valadao,2,republican,56.7,56.7,21,CA,75126,True,37562,1,0,republican,53
huerta-65034,huertae,Emilio,False,Huerta,Emilio Huerta,1,democrat,43.3,43.3,21,CA,57282,False,57282,0,0,democrat,53
nunes-67,nunesd,Devin,True,Nunes,Devin Nunes,2,republican,67.6,67.6,22,CA,158755,True,79377,1,0,republican,53
campos-65037,camposl,Louie,False,Campos,Louie Campos,1,democrat,32.4,32.4,22,CA,76211,False,76212,0,0,democrat,53
mccarthy-52561,mccarthyk,Kevin,True,McCarthy,Kevin McCarthy,1,republican,69.2,69.2,23,CA,167116,True,83557,1,0,republican,53
reed-65039,reedw,Wendy,False,Reed,Wendy Reed,2,democrat,30.8,30.8,23,CA,74468,False,74468,0,0,democrat,53
carbajal-65043,carbajals,Salud,False,Carbajal,Salud Carbajal,1,democrat,53.4,53.4,24,CA,166034,True,83016,1,0,democrat,53
fareed-63635,fareedj,Justin,False,Fareed,Justin Fareed,2,republican,46.6,46.6,24,CA,144780,False,144780,0,0,republican,53
knight-63641,knights,Steve,True,Knight,Steve Knight,2,republican,53.1,53.1,25,CA,138755,True,69377,1,0,republican,53
caforio-65048,caforiob,Bryan,False,Caforio,Bryan Caforio,1,democrat,46.9,46.9,25,CA,122406,False,122406,0,0,democrat,53
brownley-62395,brownleyj,Julia,True,Brownley,Julia Brownley,1,democrat,60.4,60.4,26,CA,169248,True,84623,1,0,democrat,53
dagnesses-63644,dagnessesr,Rafael,False,Dagnesses,Rafael Dagnesses,2,republican,39.6,39.6,26,CA,111059,False,111060,0,0,republican,53
chu-52450,chuj,Judy,True,Chu,Judy Chu,1,democrat,67.4,67.4,27,CA,168977,True,84488,1,0,democrat,53
orswell-62396,orswellj,Jack,False,Orswell,Jack Orswell,2,republican,32.6,32.6,27,CA,81655,False,81656,0,0,republican,53
schiff-89,schiffa,Adam,True,Schiff,Adam Schiff,1,democrat,78.0,78.0,28,CA,210883,True,105441,1,0,democrat,53
solis-65051,solisl,Lenore,False,Solis,Lenore Solis,2,republican,22.0,22.0,28,CA,59526,False,59526,0,0,republican,53
cardenas-6688,cardenast,Tony,True,Cardenas,Tony Cárdenas,2,democrat,74.7,74.7,29,CA,128407,True,64203,1,0,democrat,53
alarcon-52500,alarconr,Richard,False,Alarcon,Richard Alarcon,1,democrat,25.3,25.3,29,CA,43417,False,43418,0,0,democrat,53
sherman-84,shermanb,Brad,True,Sherman,Brad Sherman,2,democrat,72.6,72.6,30,CA,205279,True,102639,1,0,democrat,53
reed-60848,reedm,Mark,False,Reed,Mark Reed,1,republican,27.4,27.4,30,CA,77325,False,77326,0,0,republican,53
aguilar-62883,aguilarp,Pete,True,Aguilar,Pete Aguilar,1,democrat,56.1,56.1,31,CA,121070,True,60534,1,0,democrat,53
chabot-63653,chabotp,Paul,False,Chabot,Paul Chabot,2,republican,43.9,43.9,31,CA,94866,False,94866,0,0,republican,53
napolitano-113,napolitanog,Grace,True,Napolitano,Grace Napolitano,2,democrat,61.6,61.6,32,CA,114926,True,57462,1,0,democrat,53
hernandez-65059,hernandezr,Roger,False,Hernandez,Roger Hernandez,1,democrat,38.4,38.4,32,CA,71720,False,71720,0,0,democrat,53
lieu-63666,lieut,Ted,True,Lieu,Ted Lieu,1,democrat,66.4,66.4,33,CA,219397,True,109698,1,0,democrat,53
wright-65106,wrightk,Kenneth,False,Wright,Kenneth Wright,2,republican,33.6,33.6,33,CA,110822,False,110822,0,0,republican,53
becerra-94,becerrax,Xavier,True,Becerra,Xavier Becerra,1,democrat,77.2,77.2,34,CA,122842,True,61420,1,0,democrat,53
edwards-63681,edwardsa,Adrienne,False,Edwards,Adrienne Edwards,2,democrat,22.8,22.8,34,CA,36314,False,36314,0,0,democrat,53
torres-63684,torresn,Norma,True,Torres,Norma Torres,2,democrat,72.4,72.4,35,CA,124044,True,62021,1,0,democrat,53
fischella-65061,fischellat,Tyler,False,Fischella,Tyler Fischella,1,republican,27.6,27.6,35,CA,47309,False,47310,0,0,republican,53
ruiz-62342,ruizr,Raul,True,Ruiz,Raul Ruiz,1,democrat,62.1,62.1,36,CA,144348,True,72173,1,0,democrat,53
stone-8546,stonej,Jeff,False,Stone,Jeff Stone,2,republican,37.9,37.9,36,CA,88269,False,88270,0,0,republican,53
bass-50853,bassk,Karen,True,Bass,Karen Bass,1,democrat,81.1,81.1,37,CA,192490,True,96244,1,0,democrat,53
wiggins-65063,wigginsc,Chris,False,Wiggins,Chris Wiggins,2,democrat,18.9,18.9,37,CA,44782,False,44782,0,0,democrat,53
sanchez-116,sanchezl,Linda,True,Sanchez,Linda Sánchez,2,democrat,70.5,70.5,38,CA,163590,True,81794,1,0,democrat,53
downing-63654,downingr,Ryan,False,Downing,Ryan Downing,1,republican,29.5,29.5,38,CA,68524,False,68524,0,0,republican,53
royce-1215,roycee,Ed,True,Royce,Ed Royce,2,republican,57.2,57.2,39,CA,150777,True,75388,1,0,republican,53
murdock-65107,murdockb,Brett,False,Murdock,Brett Murdock,1,democrat,42.8,42.8,39,CA,112679,False,112680,0,0,democrat,53
roybal-allard-102,roybal_allardl,Lucille,True,Roybal-Allard,Lucille Roybal-Allard,2,democrat,71.4,71.4,40,CA,106554,True,53276,1,0,democrat,53
gonzalez-65066,gonzalezr,Roman,False,Gonzalez,Roman Gonzalez,1,independent,28.6,28.6,40,CA,42743,False,42744,0,0,other,53
takano-8584,takanom,Mark,True,Takano,Mark Takano,2,democrat,65.0,65.0,41,CA,128164,True,64081,1,0,democrat,53
shepherd-65069,shepherdd,Doug,False,Shepherd,Doug Shepherd,1,republican,35.0,35.0,41,CA,69159,False,69160,0,0,republican,53
calvert-132,calvertk,Ken,True,Calvert,Ken Calvert,1,republican,58.8,58.8,42,CA,149547,True,74773,1,0,republican,53
sheridan-63692,sheridant,Tim,False,Sheridan,Tim Sheridan,2,democrat,41.2,41.2,42,CA,104689,False,104690,0,0,democrat,53
waters-104,watersm,Maxine,True,Waters,Maxine Waters,2,democrat,76.1,76.1,43,CA,167017,True,83508,1,0,democrat,53
navarro-65070,navarroo,Omar,False,Navarro,Omar Navarro,1,republican,23.9,23.9,43,CA,52499,False,52500,0,0,republican,53
barragan-65073,barragann,Nanette,False,Barragan,Nanette Barragán,1,democrat,52.2,52.2,44,CA,93124,True,46561,1,0,democrat,53
hall-65071,halli,Isadore,False,Hall,Isadore Hall III,2,democrat,47.8,47.8,44,CA,85289,False,85290,0,0,democrat,53
walters-12594,waltersm,Mimi,True,Walters,Mimi Walters,2,republican,58.6,58.6,45,CA,182618,True,91308,1,0,republican,53
varasteh-62404,varastehr,Ron,False,Varasteh,Ron Varasteh,1,democrat,41.4,41.4,45,CA,129231,False,129232,0,0,democrat,53
correa-52470,correal,Lou,False,Correa,Lou Correa,1,democrat,70.0,70.0,46,CA,115248,True,57623,1,0,democrat,53
nguyen-65082,nguyenb,Bao,False,Nguyen,Bao Nguyen,2,democrat,30.0,30.0,46,CA,49345,False,49346,0,0,democrat,53
lowenthal-52455,lowenthala,Alan,True,Lowenthal,Alan Lowenthal,1,democrat,63.7,63.7,47,CA,154759,True,77379,1,0,democrat,53
